VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
2,0,117,March,Sunday,County Road,Front-to-Front,Yes,Not Daylight,Yes,55,34,Female
2,0,93,February,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,20,Male
1,0,23,March,Saturday,County Road,Not Col. Moving,No,Daylight,Yes,55,24,Male
1,1,93,March,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,40,33,Female
1,0,163,March,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,40,45,Female
2,0,49,March,Friday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,,30,Male
1,0,37,March,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,36,Male
2,1,125,March,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,58,Male
1,0,159,April,Wednesday,Interstate,Not Col. Moving,No,Daylight,Yes,70,42,Male
1,1,99,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,31,Female
1,0,157,April,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,26,Male
1,0,93,April,Friday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,26,Male
2,0,81,April,Sunday,U.S. Highway,Front-to-Front,Yes,Not Daylight,No/unknown,70,33,Female
1,0,51,April,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,73,Female
2,0,45,April,Tuesday,County Road,Angle,No,Daylight,No/unknown,,89,Female
2,0,81,April,Friday,County Road,Angle,No,Daylight,Yes,40,20,Male
2,0,163,April,Monday,State Highway,Front-to-Rear,Yes,Not Daylight,Yes,55,51,Male
1,1,163,April,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,15,34,Female
2,0,163,March,Thursday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,,47,Male
1,2,125,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,22,Male
2,0,5,April,Tuesday,U.S. Highway,Front-to-Front,Yes,Not Daylight,Yes,70,29,Male
1,1,125,April,Wednesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,40,65,Female
1,1,99,April,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,50,29,Male
1,0,61,February,Thursday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,67,Male
2,0,77,March,Tuesday,U.S. Highway,Angle,No,Not Daylight,No/unknown,45,20,Female
2,0,65,April,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,24,Male
1,0,21,April,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,20,Male
2,0,49,February,Thursday,Local Street,Angle,No,Daylight,Yes,,28,Male
1,0,163,April,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,55,66,Male
2,0,79,April,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,55,24,Female
1,1,73,March,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,22,Male
1,0,127,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,23,Male
3,0,81,April,Friday,State Highway,Front-to-Rear,No,Not Daylight,No/unknown,55,59,Male
2,0,77,April,Thursday,County Road,Angle,No,Daylight,No/unknown,55,51,Female
2,0,125,April,Sunday,County Road,Angle,Yes,Not Daylight,No/unknown,45,43,Male
1,0,81,April,Thursday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,45,40,Male
2,3,163,April,Monday,State Highway,Front-to-Front,No,Daylight,No/unknown,40,59,Male
1,1,161,April,Wednesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,56,Male
2,0,125,April,Friday,State Highway,Sideswipe,No,Not Daylight,Yes,70,25,Female
2,0,81,April,Sunday,State Highway,Angle,No,Daylight,No/unknown,,21,Female
1,0,163,April,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,35,37,Female
2,0,119,April,Saturday,County Road,Angle,Yes,Not Daylight,No/unknown,,68,Male
1,0,159,April,Wednesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,26,Male
2,0,163,April,Sunday,Local Street,Front-to-Front,Yes,Daylight,No/unknown,30,25,Male
1,0,17,April,Friday,Interstate,Not Col. Moving,No,Daylight,Yes,,31,Male
1,0,121,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,28,Male
1,1,23,April,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,,Unknown
2,0,163,April,Sunday,Local Street,Not Col. Moving,No,Not Daylight,Yes,,17,Male
1,0,17,April,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,37,Male
1,0,93,April,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,22,Male
1,0,55,April,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,61,Male
2,0,115,April,Friday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,55,18,Male
2,1,17,April,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,41,Female
2,0,75,April,Sunday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,46,Female
1,0,25,April,Saturday,State Highway,Not Col. Moving,No,Not Daylight,Yes,30,33,Male
2,0,81,April,Thursday,Local Street,Angle,No,Daylight,No/unknown,,22,Female
1,0,159,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,47,Male
2,0,147,April,Friday,County Road,Front-to-Front,No,Not Daylight,No/unknown,55,24,Female
1,1,161,April,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,0,34,Female
