VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
1,0,161,September,Tuesday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,70,23,Male
1,1,163,October,Sunday,State Highway,Not Col. Moving,No,Daylight,No/unknown,35,39,Female
1,0,65,September,Friday,Interstate,Not Col. Moving,Yes,Daylight,Yes,70,47,Female
2,0,161,September,Wednesday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,48,Male
2,0,163,October,Monday,County Road,Angle,No,Daylight,Yes,,27,Male
1,0,47,September,Sunday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,17,Male
1,1,81,October,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,70,18,Male
1,0,91,September,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,49,Female
2,0,163,September,Friday,State Highway,Front-to-Rear,No,Not Daylight,No/unknown,30,38,Male
1,0,39,October,Thursday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,69,Male
1,0,125,September,Monday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,22,Female
1,0,163,October,Saturday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,49,Male
1,0,99,October,Monday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,77,Male
1,1,103,October,Saturday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,43,Female
1,1,139,September,Tuesday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,64,Female
2,0,37,September,Monday,County Road,Angle,No,Daylight,No/unknown,,91,Female
2,1,87,October,Monday,Local Street,Front-to-Rear,No,Not Daylight,No/unknown,25,18,Female
2,0,5,September,Sunday,County Road,Front-to-Front,Yes,Daylight,No/unknown,55,32,Male
1,0,163,September,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,26,Male
1,1,161,September,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,23,Female
1,1,161,June,Thursday,State Highway,Not Col. Moving,No,Daylight,No/unknown,40,25,Male
1,1,19,August,Friday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,42,Male
2,0,77,August,Tuesday,County Road,Angle,No,Daylight,No/unknown,35,52,Female
1,1,161,October,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,48,Male
2,0,163,October,Tuesday,Local Street,Angle,No,Daylight,No/unknown,,54,Male
1,1,125,October,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,46,Male
2,0,163,October,Monday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,70,22,Male
1,1,81,October,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,58,Male
1,0,75,October,Thursday,County Road,Not Col. Moving,No,Not Daylight,Yes,35,19,Male
1,1,115,October,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,24,Female
2,0,117,October,Friday,County Road,Angle,No,Daylight,No/unknown,,32,Female
1,1,99,October,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,60,Male
2,0,81,October,Saturday,County Road,Angle,No,Daylight,No/unknown,,42,Male
2,0,99,October,Sunday,County Road,Front-to-Front,No,Daylight,No/unknown,45,34,Female
1,0,163,October,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,70,Male
2,0,139,October,Sunday,County Road,Angle,No,Not Daylight,No/unknown,,42,Female
1,1,99,October,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,25,Female
1,0,151,October,Tuesday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,20,Female
1,1,163,October,Sunday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,33,Male
1,0,77,October,Friday,County Road,Not Col. Moving,No,Daylight,Yes,55,22,Male
1,1,125,October,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,,Unknown
1,1,163,October,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,71,Female
1,0,163,October,Monday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,25,56,Male
1,0,25,October,Wednesday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,30,Female
2,0,81,May,Thursday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,27,Female
1,0,125,August,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,25,85,Female
2,0,99,October,Friday,State Highway,Front-to-Front,Yes,Not Daylight,No/unknown,50,27,Male
1,1,65,October,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,53,Male
1,0,73,October,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,46,Male
1,1,139,October,Tuesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,40,Male
4,0,163,October,Friday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,70,22,Male
2,0,21,October,Sunday,County Road,Angle,No,Daylight,No/unknown,45,84,Male
2,0,161,October,Friday,County Road,Angle,No,Not Daylight,No/unknown,55,28,Male
1,0,163,October,Monday,Interstate,Not Col. Moving,No,Not Daylight,Yes,55,39,Male
1,1,163,October,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,,Unknown
2,0,163,October,Sunday,Local Street,Front-to-Front,No,Daylight,No/unknown,40,21,Male
2,0,81,October,Monday,State Highway,Angle,No,Daylight,No/unknown,55,22,Male
2,0,99,October,Tuesday,Interstate,Front-to-Front,Yes,Not Daylight,No/unknown,70,72,Male
2,0,5,July,Wednesday,County Road,Front-to-Front,No,Daylight,No/unknown,55,41,Female
1,0,45,September,Tuesday,County Road,Not Col. Moving,No,Daylight,Yes,55,20,Male
1,0,163,October,Thursday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,40,41,Female
1,0,87,October,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,33,Male
1,0,155,October,Saturday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,49,Male
1,0,19,September,Monday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,17,Male
1,0,11,October,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,53,Male
1,0,9,October,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,24,Male
2,0,121,October,Friday,County Road,Angle,Yes,Not Daylight,No/unknown,55,51,Male
1,0,117,November,Monday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,31,Male
2,0,147,October,Wednesday,County Road,Front-to-Front,No,Daylight,No/unknown,55,76,Female
1,0,95,October,Tuesday,State Highway,Not Col. Moving,No,Daylight,No/unknown,55,57,Male
2,0,91,November,Monday,County Road,Angle,No,Daylight,No/unknown,55,56,Male
1,1,81,October,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,40,39,Male
1,1,81,October,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,87,Male
3,0,125,November,Wednesday,County Road,Front-to-Front,No,Daylight,No/unknown,50,27,Male
2,0,109,October,Thursday,County Road,Angle,No,Daylight,No/unknown,55,88,Female
2,0,125,October,Saturday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,50,23,Male
1,0,87,October,Thursday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,35,Male
2,0,5,November,Saturday,County Road,Angle,No,Daylight,No/unknown,55,68,Male
2,0,27,October,Tuesday,State Highway,Front-to-Front,Yes,Not Daylight,Yes,55,29,Male
1,0,17,November,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,24,Male
2,0,73,November,Thursday,County Road,Angle,No,Daylight,No/unknown,,52,Female
1,0,65,October,Monday,Local Street,Not Col. Moving,No,Daylight,Yes,25,27,Male
1,0,125,October,Tuesday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,40,33,Male
1,0,125,October,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,72,Male
2,0,77,November,Friday,Local Street,Angle,No,Not Daylight,No/unknown,,37,Male
1,1,163,October,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
2,2,163,October,Sunday,Local Street,Front-to-Rear,No,Not Daylight,No/unknown,30,51,Male
2,0,163,November,Friday,Local Street,Front-to-Front,Yes,Not Daylight,No/unknown,45,48,Male
1,0,65,October,Friday,Local Street,Not Col. Moving,No,Daylight,Yes,35,23,Male
1,0,129,November,Saturday,State Highway,Not Col. Moving,No,Daylight,Yes,55,46,Male
1,0,73,November,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,59,Male
2,0,99,October,Thursday,State Highway,Angle,No,Daylight,No/unknown,55,45,Female
1,0,25,October,Wednesday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,47,Female
2,0,151,November,Tuesday,State Highway,Angle,No,Daylight,No/unknown,,73,Male
4,0,163,October,Thursday,Local Street,Sideswipe,No,Daylight,No/unknown,35,62,Male
2,0,85,November,Sunday,U.S. Highway,Angle,No,Daylight,No/unknown,55,64,Male
4,0,125,November,Tuesday,State Highway,Front-to-Rear,No,Not Daylight,No/unknown,70,47,Female
1,1,25,November,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,19,Male
3,0,163,August,Thursday,County Road,Angle,No,Daylight,No/unknown,,45,Female
1,1,77,September,Saturday,State Highway,Not Col. Moving,No,Daylight,No/unknown,55,67,Female
1,1,91,November,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,25,61,Male
2,0,81,November,Wednesday,County Road,Front-to-Front,No,Daylight,No/unknown,55,44,Female
2,0,99,November,Saturday,State Highway,Angle,Yes,Not Daylight,No/unknown,,24,Male
1,0,91,November,Monday,County Road,Not Col. Moving,No,Daylight,Yes,55,16,Male
2,0,55,November,Tuesday,U.S. Highway,Angle,No,Not Daylight,No/unknown,55,38,Male
1,0,33,November,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,55,63,Male
1,0,77,December,Monday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Male
1,1,99,December,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,60,Male
1,0,163,December,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,26,Male
2,0,65,September,Thursday,State Highway,Angle,No,Daylight,No/unknown,45,65,Male
1,0,93,December,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,44,Male
1,0,161,December,Saturday,State Highway,Not Col. Moving,No,Daylight,Yes,,36,Male
1,1,81,November,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,26,Male
1,1,163,December,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,89,Male
1,1,125,December,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,48,Female
1,0,15,December,Wednesday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,39,Female
1,1,163,November,Sunday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,66,Female
2,0,99,December,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,45,62,Female
1,0,163,November,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,20,Male
1,0,163,December,Monday,Interstate,Not Col. Moving,No,Not Daylight,Yes,55,59,Male
1,0,129,November,Monday,Interstate,Not Col. Moving,No,Daylight,Yes,70,64,Male
1,0,107,December,Wednesday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,20,Male
1,1,125,December,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,65,Female
2,0,121,December,Monday,County Road,Angle,No,Daylight,No/unknown,55,85,Male
2,2,65,December,Wednesday,Interstate,Sideswipe,No,Not Daylight,No/unknown,,19,Female
4,0,49,November,Tuesday,U.S. Highway,Not Col. Moving,No,Daylight,Yes,70,54,Male
1,0,157,December,Thursday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,85,Male
1,0,37,December,Thursday,Interstate,Not Col. Moving,No,Daylight,Yes,70,58,Male
1,0,77,November,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,35,21,Male
1,0,49,December,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,27,Male
2,0,121,December,Saturday,State Highway,Angle,No,Not Daylight,No/unknown,45,44,Male
4,0,163,November,Saturday,Interstate,Front-to-Rear,No,Daylight,No/unknown,55,37,Male
1,0,121,December,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,37,Male
1,0,19,December,Wednesday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,31,Male
2,0,163,December,Friday,Interstate,Sideswipe,No,Daylight,No/unknown,70,53,Male
1,0,37,December,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,55,53,Male
1,0,99,December,Tuesday,Local Street,Not Col. Moving,Yes,Daylight,No/unknown,35,43,Male
2,0,125,December,Monday,County Road,Front-to-Rear,No,Not Daylight,No/unknown,40,84,Male
1,0,125,December,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,67,Male
2,0,103,December,Saturday,U.S. Highway,Angle,No,Daylight,No/unknown,55,62,Female
1,0,87,December,Wednesday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,22,Female
1,0,125,December,Saturday,Interstate,Not Col. Moving,No,Daylight,Yes,70,40,Male
2,0,93,December,Wednesday,State Highway,Angle,No,Not Daylight,No/unknown,,23,Male
1,0,125,December,Friday,Interstate,Not Col. Moving,Yes,Not Daylight,No/unknown,35,21,Male
1,0,147,November,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,39,Male
1,0,85,December,Monday,U.S. Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,52,Male
1,1,55,December,Tuesday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,39,Male
1,1,63,December,Thursday,State Highway,Not Col. Moving,Yes,Daylight,No/unknown,55,58,Male
3,0,73,December,Friday,U.S. Highway,Front-to-Front,No,Not Daylight,No/unknown,70,41,Male
1,1,149,December,Sunday,U.S. Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,24,Male
1,0,101,December,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,56,Male
2,0,111,December,Thursday,County Road,Angle,No,Daylight,No/unknown,55,25,Female
1,1,99,December,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,45,32,Male
7,1,49,December,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,45,17,Female
1,0,139,December,Thursday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,23,Male
1,0,65,December,Sunday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,25,Male
1,0,59,December,Monday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,21,Female
1,1,163,December,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,35,69,Male
1,0,157,December,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,27,Male
2,0,145,December,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,19,Male
1,1,163,April,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
1,0,163,December,Sunday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,20,Male
1,0,163,December,Friday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,19,Male
1,0,37,December,Friday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,20,Female
2,0,163,September,Thursday,State Highway,Angle,No,Daylight,No/unknown,40,40,Male
2,0,33,December,Saturday,County Road,Angle,No,Not Daylight,No/unknown,35,18,Male
1,0,59,November,Wednesday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,67,Male
2,0,139,December,Thursday,Local Street,Sideswipe,No,Daylight,No/unknown,45,85,Female
1,0,93,November,Saturday,County Road,Not Col. Moving,No,Daylight,Yes,45,19,Male
1,0,161,November,Wednesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,18,Male
2,0,73,November,Sunday,County Road,Angle,No,Daylight,No/unknown,,43,Male
1,1,163,December,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,,,Unknown
1,0,163,November,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,33,Female
1,0,161,December,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,50,Male
2,0,109,November,Monday,U.S. Highway,Angle,No,Not Daylight,Yes,55,40,Female
2,0,125,December,Wednesday,U.S. Highway,Angle,No,Not Daylight,No/unknown,,56,Male
1,0,5,November,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,35,Female
1,1,21,December,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,22,Male
1,0,49,December,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,32,Male
1,0,163,December,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,25,23,Male
1,1,125,November,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,42,Male
2,0,111,November,Thursday,County Road,Angle,No,Not Daylight,No/unknown,55,33,Male
2,0,117,November,Wednesday,County Road,Angle,No,Not Daylight,No/unknown,,68,Female
1,0,75,November,Wednesday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,32,Female
2,0,55,November,Tuesday,U.S. Highway,Angle,No,Daylight,No/unknown,55,76,Male
1,1,163,December,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,21,Male
1,1,115,November,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,51,Female
2,0,75,November,Sunday,County Road,Angle,No,Not Daylight,No/unknown,,65,Male
3,0,87,November,Tuesday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,29,Female
2,0,99,December,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,45,35,Male
1,0,163,November,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,45,Male
5,0,49,November,Sunday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,70,25,Male
1,0,29,November,Wednesday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,55,86,Male
1,0,93,December,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,45,65,Male
1,0,125,November,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,39,Female
2,0,163,November,Saturday,State Highway,Angle,No,Not Daylight,Yes,45,40,Male
1,1,163,November,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,26,Female
2,0,165,December,Sunday,State Highway,Other,No,Not Daylight,No/unknown,55,24,Female
4,0,99,December,Wednesday,Local Street,Front-to-Rear,No,Not Daylight,No/unknown,50,65,Female
1,1,99,November,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,44,Male
1,0,109,November,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,54,Male
2,0,163,November,Sunday,Local Street,Angle,No,Daylight,No/unknown,,51,Male
2,0,27,November,Thursday,State Highway,Sideswipe,No,Daylight,Yes,55,23,Male
1,0,99,November,Wednesday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,37,Male
1,1,125,November,Sunday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,28,Male
3,0,77,November,Thursday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,55,76,Male
1,1,163,December,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,,Unknown
2,0,49,May,Tuesday,County Road,Front-to-Front,No,Daylight,No/unknown,55,54,Male
2,0,65,July,Friday,County Road,Angle,No,Daylight,No/unknown,,94,Male
1,0,39,October,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,25,23,Male
2,0,163,November,Saturday,Local Street,Angle,Yes,Not Daylight,No/unknown,25,32,Female
2,0,141,November,Wednesday,U.S. Highway,Angle,No,Not Daylight,Yes,50,60,Male
1,1,125,November,Tuesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,50,40,Male
1,0,65,September,Saturday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,54,Female
1,0,163,August,Friday,State Highway,Not Col. Moving,No,Daylight,No/unknown,40,53,Female
2,1,163,August,Sunday,State Highway,Angle,Yes,Not Daylight,No/unknown,55,,Unknown
3,0,163,September,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,54,Male
1,0,121,May,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,16,Male
3,0,163,November,Monday,State Highway,Sideswipe,No,Daylight,No/unknown,50,71,Male
1,1,99,December,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,34,Male
1,0,49,December,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,54,Male
1,0,163,May,Sunday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,35,56,Female
2,0,45,February,Saturday,County Road,Angle,No,Daylight,No/unknown,,56,Male
1,0,49,February,Monday,Interstate,Not Col. Moving,No,Daylight,Yes,70,78,Male
1,0,25,March,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,83,Male
1,1,77,May,Monday,State Highway,Not Col. Moving,No,Daylight,No/unknown,35,20,Male
2,0,99,June,Tuesday,Local Street,Angle,No,Daylight,No/unknown,40,89,Female
2,0,121,June,Sunday,County Road,Angle,No,Daylight,No/unknown,55,41,Female
2,0,49,June,Thursday,State Highway,Angle,No,Daylight,No/unknown,,72,Male
2,0,121,August,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,45,89,Female
1,0,77,August,Wednesday,State Highway,Not Col. Moving,No,Daylight,No/unknown,35,86,Female
1,0,145,August,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,57,Female
2,0,25,August,Friday,State Highway,Front-to-Rear,No,Daylight,No/unknown,50,39,Female
2,0,75,September,Friday,County Road,Angle,No,Daylight,No/unknown,45,63,Female
2,0,45,October,Tuesday,Interstate,Front-to-Rear,No,Daylight,No/unknown,70,61,Male
2,0,21,October,Monday,Interstate,Angle,No,Daylight,No/unknown,,76,Male
3,0,65,October,Friday,State Highway,Angle,No,Daylight,No/unknown,,53,Male
2,0,23,November,Thursday,County Road,Angle,No,Not Daylight,No/unknown,,84,Female
2,0,81,December,Monday,State Highway,Front-to-Rear,No,Daylight,Yes,55,76,Female
2,0,115,December,Thursday,County Road,Sideswipe,Yes,Not Daylight,No/unknown,45,51,Male
1,1,5,October,Thursday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,50,Male
2,0,49,July,Friday,County Road,Angle,Yes,Daylight,No/unknown,55,33,Male
